SMILES,AZ_LogD7.4,LogP,LogP_chembl,SLogD,SLogP
Brc1cnc(NCc2ccccc2)nc1Nc1cc(C2CC2)[nH]n1,4.11,,,3.71898,3.71926
Brc1cnc2ccccc2c1,,3.03,3.03,2.96817,2.96818
Brc1cncc(-c2cc(NCCCn3ccnc3)nc(-c3ccccc3)n2)c1,,,5.83,4.12287,4.22162
Brc1cnccn1,,0.93,,0.837492,0.837492
Brc1cncnc1,,0.72,,0.701033,0.701033
Brc1n[nH]c(Br)n1,,2.24,,-0.648631,1.05649
Brc1nc(Br)c(Br)[nH]1,,1.96,,1.8358,2.25075
Brc1ncccn1,,0.5,,0.74629,0.74629
C,,1.09,1.09,0.522976,0.522976
C#C,,0.37,0.37,0.588904,0.588904
C#CC,,0.94,0.94,1.06375,1.06375
C#CC(=NOCC1OCCO1)c1ccccc1,,2.76,,2.01844,2.01844
C#CC(C)(C)N(C)C(C)C,,2.29,,0.177968,1.80378
C#CC(C)(C)N1CCC(CC(=O)NO)(NC(=O)c2ccc(OCc3cc(C)nc4ccccc34)cc2)CC1,,,3.43,2.30564,2.80893
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,,3.43,,3.38362,3.38391
C#CC(C)(C)NC(=O)c1sccc1Oc1ccc(F)cc1[N+](=O)[O-],3,,,3.6802,3.68052
C#CC(C)(C)NCC(O)CON=C(C1CC1)C1CC1,,1.6,,1.25459,1.89384
C#CC(C)(C)O,,0.28,,0.437059,0.437059
C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,,3,,2.55665,2.55668
C#CC(C)O/C(O)=N/c1ccc(OCC)c(OCC)c1,,2.68,,1.73594,1.73626
C#CC(C)n1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.59,,,3.72259,3.72419
C#CC(C=C)(CC)OC(=N)O,,1.09,,1.00084,1.00087
C#CC(C=CCl)(CC)OC(N)=O,,1.71,,1.7866,1.78661
C#CC(CC)O/C(O)=N/c1ccc(OCC)c(OCC)c1,,3.07,,1.97899,1.97925
C#CC/N=C(/O)C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,,2,,2.17752,2.17756
C#CC/N=C(\O)NCCCC(/N=C(/C)O)/C(O)=N/Cc1ccccc1,,-0.31,,1.22431,1.22464
C#CC/N=C(\O)NCCCCC(/N=C(/C)O)/C(O)=N/Cc1ccccc1,,0.23,,1.45612,1.45647
C#CC/N=c1/nc(CCC)nc(N2CCOCC2)[nH]1,,2.3,,1.56311,1.60845
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,,3.11,,3.27071,3.27071
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3C(=C)CC21CC,,3.16,,3.15098,3.15098
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,,2.97,,2.83238,2.83238
C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,,3.93,,4.26274,4.26274
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3C(OC)CC21C,,3.516,,3.29837,3.29894
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,,3.67,,3.72048,3.721
C#CC1(O)CCCCC1,,1.73,,1.47608,1.47608
C#CC1(OC(=O)C2=CN(C)C=CC2)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,,4.49,,4.68363,4.68366
C#CC1(OC(=O)C2=CN(C)C=CC2)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,,4.44,,4.22938,4.22941
C#CCC,,1.46,,1.76938,1.76938
C#CCC(C)O/C(O)=N/c1ccc(OCC)c(OCC)c1,,2.86,,2.01796,2.0182
C#CCC(O)(CC#C)c1cccnc1,,1.29,,0.934167,0.934849
C#CCC(O)(c1ccc(C(C)C)cc1)c1cccnc1,,2.16,,2.7312,2.73178
C#CCC(O)(c1ccc(F)cc1)c1cccnc1,,1.78,,2.00672,2.00706
C#CCC(O)(c1cccnc1)C1CCCCC1,,2.09,,2.29299,2.29385
C#CCC(O)(c1cccnc1)c1ccc(Cl)c(Cl)c1,,2.42,,2.82431,2.8244
C#CCC(O)(c1cccnc1)c1ccc(Cl)cc1Cl,,2.29,,2.8252,2.82526
C#CCC(O)(c1cccnc1)c1ccc2ccccc2c1,,2.14,,2.71196,2.71232
C#CCC(O)c1cccnc1,,1.21,,0.40891,0.41045
C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,,4.49,,4.26773,4.26773
C#CCCC,,1.98,,2.24384,2.24384
C#CCCC(=O)N(C)c1ccc(S(=O)(=O)N(C)C)cc1,,0.88,,1.4165,1.4165
C#CCCC(C)=O,,0.58,,0.715887,0.715887
C#CCCCC,,2.73,,2.78167,2.78167
C#CCCCCC,,3.32,,3.33521,3.33521
C#CCCCCCC,,3.92,,3.88442,3.88442
C#CCCCCCCC,,4.51,,4.42545,4.42545
C#CCCCCCNC(=O)c1coc(C2C3CCC(O3)C2Cc2ccccc2CCC(=O)O)n1,,,0.87,1.28842,3.91078
C#CCCCCl,,1.85,,1.95624,1.95624
C#CCCO/C(O)=N/c1ccc(OCC)c(OCC)c1,,2.54,,1.7325,1.7328
C#CCCOC(=O)/C=C(C)/C=C/CC(C)CCCC(C)(C)OC,,,5.2,5.74253,5.74253
C#CCCOCn1ccnc1C=NO,,0.67,,0.319355,0.322531
C#CCN(C)/N=N/c1ccc(C(=O)O)cc1,,,0,-0.442176,2.63816
C#CCN(C)C(C)Cc1ccc(F)cc1,,3,,2.39811,2.93331
C#CCN(C)C(C)Cc1ccccc1,2.16,2.9,,1.93556,2.51709
C#CCN(C)N=NC1N=CN=C1C(N)=O,,0.33,,0.234445,0.23448
C#CCN(CC#C)CC#C,,1.27,,1.09619,1.09889
C#CCN(N=O)/C(O)=N/CCCC(/N=C(/C)O)/C(O)=N/Cc1ccccc1,,1.12,,2.1456,2.14655
C#CCN(N=O)/C(O)=N/CCCCC(/N=C(/C)O)/C(O)=N/Cc1ccccc1,,1.64,,2.39681,2.39711
C#CCN(c1cc(Nc2ccc(OCC(O)CN(C)C)cc2)ncn1)c1cc(Cl)ccc1Cl,2.8,,,2.99589,4.18263
C#CCN(c1ccnc(Nc2ccc(OCC(O)CN(C)C)cc2)n1)c1cc(Cl)ccc1Cl,3.2,,,2.89297,4.06959
C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=C(CCCC4)C3=O)cc21,,2.55,,1.72901,1.72901
C#CCN1CC(=O)N(COC(=O)C2C(C=C(C)C)C2(C)C)C1=O,,2.9,,2.47818,2.47818
C#CCNC1=C(C)C(=O)c2c(c(COC(N)=O)c3n2CC2NC32)C1=O,,,1.21,-0.173313,-0.00146491
C#CCO,,-0.38,,-0.316302,-0.316302
C#CCO/C(O)=N/c1ccc(OCC)c(OCC)c1,,2.68,,1.42661,1.42702
C#CCO/N=C/Nc1cc(Cl)c(OCC#C)c(Cl)c1,,3.3,,3.1141,3.1141
C#CCO/N=C/Nc1cc(F)c(OCC#C)c(OCC#C)c1,,1.8,,1.89061,1.89061
C#CCOC(=O)/C=C(C)/C=C/CC(C)CCCC(C)(C)OC,,,4.66,5.4178,5.4178
C#CCOC(=O)/C=C(C)/C=C/CC(C)CCCC(C)C,,,5.86,6.07694,6.07694
C#CCOC(=O)C(C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1,,3.9,,3.84046,3.84046
C#CCOC1(c2ccccc2)CN(C)CCO1,,1.87,,1.64962,1.6996
C#CCOC1=C(C)C(=O)C2=C(C1=O)C(COC(N)=O)[C@]1(OC)C3NC3CN21,,,0.74,-0.263856,-0.0358244
C#CCOC1=Nc2cc(OC(=O)N3CCCC3)c(Cl)cc2OC1,,2.93,,2.7264,2.72717
C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1,,5,,4.44151,4.44151
C#CCOc1c(Cl)cc(/N=C/NO)cc1Cl,,2.8,,1.94427,1.95978
C#CCOc1c(Cl)cc(/N=C/NOC(C)C)cc1Cl,,3.9,,3.07093,3.08936
C#CCOc1c(Cl)cc(/N=C/NOC(C)CC)cc1Cl,,4.2,,3.48152,3.49939
C#CCOc1c(Cl)cc(/N=C/NOC)cc1Cl,,3.3,,2.51328,2.52234
C#CCOc1c(Cl)cc(/N=C/NOCC#N)cc1Cl,,3,,2.09813,2.09969
C#CCOc1c(Cl)cc(/N=C/NOCC(=O)OCC)cc1Cl,,3.6,,2.68,2.68626
C#CCOc1c(Cl)cc(/N=C/NOCC)cc1Cl,,3.6,,2.8252,2.83766
C#CCOc1c(Cl)cc(/N=C/NOCC=C)cc1Cl,,3.7,,2.85603,2.86584
C#CCOc1c(Cl)cc(/N=C/NOCCCC)cc1Cl,,4.4,,3.73991,3.75556
C#CCOc1c(Cl)cc(/N=C/NOCCCl)cc1Cl,,3.7,,3.14034,3.14611
C#CCOc1c(Cl)cc(/N=C/NOCCOCC)cc1Cl,,3.7,,2.9962,3.01007
C#CCOc1c(Cl)cc(/N=C/NOCOC)cc1Cl,,3.2,,2.34701,2.35295
C#CCOc1c(Cl)cc(/N=C/NOCOCC)cc1Cl,,3.5,,2.65527,2.66275
C#CCOc1c(Cl)cc(/N=C/NOCSC)cc1Cl,,3.6,,3.06814,3.07657
C#CCOc1c(Cl)cc(/N=C/NOCc2ccccc2)cc1Cl,,4.2,,3.67829,3.68654
C#CCOc1c(Cl)cc(/N=C/NOc2ccc(C)cc2)cc1Cl,,4.8,,3.82352,3.82676
C#CCOc1c(Cl)cc(/N=C/NOc2ccccc2)cc1Cl,,4.4,,3.41534,3.41777
C#CCOc1c(Cl)cc(N/C=N/OCCC)cc1Cl,,4,,4.03044,4.03044
C#CCOc1c(Cl)cc(N=CNOCC=CCl)cc1Cl,,3.9,,3.3449,3.34905
C#CCOc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,,3.95,,3.70536,3.70536
C#CCOc1cc(/N=C/NOC)cc(Cl)c1OCC#C,,2.3,,1.9294,2.00557
C#CCOc1cc(/N=C/NOC)cc(F)c1OCC#C,,1.8,,1.50095,1.63516
C#CCOc1cc(/N=C/NOCC)cc(Cl)c1OCC#C,,2.53333,,2.1879,2.28037
C#CCOc1cc(/N=C/NOCOC)cc(Cl)c1OCC#C,,2.2,,1.8334,1.87732
C#CCOc1cc(/N=C/NOCOC)cc(F)c1OCC#C,,1.7,,1.43053,1.50525
C#CCOc1cc(N/C=N/OCC)cc(F)c1OCC#C,,2.1,,2.24336,2.24336
C#CCOc1cc(OC(=O)N(CC)CC)c(Cl)cc1Cl,,3.95,,3.7483,3.7483
C#CCOc1cc(OC(=O)N2CCC(F)(F)C2)c(Cl)cc1Cl,,3.42,,3.60988,3.60988
C#CCOc1cc(OC(=O)N2CCC(F)(F)CC2)c(Cl)cc1Cl,,3.57,,3.70851,3.70851
C#CCOc1cc(OC(=O)N2CCCC2)c(Cl)cc1Cl,,3.82,,3.62631,3.62631
C#CCOc1cc(OC(=O)N2CCCCC2)c(Cl)cc1Cl,,4.25,,3.99361,3.99361
C#CCOc1ccc(/N=C/NOC)cc1OCC#C,,1.6,,1.16919,1.46442
C#CCOc1ccc(C(=O)c2ccc3n2CCC3C(=O)O)cc1,,,3.63,-0.265175,2.44172
C#CCOc1ccc(N/C=N/OCC)cc1OCC#C,,1.9,,1.95549,1.9555
C#CCOc1ccccc1,,,0,2.28542,2.28542
C#CCOc1ccccc1OCC(O)CNC(C)(C)C,,2.32,,-0.0717316,2.02615
C#CCOc1noc2c1CNCC2,,0.4,,0.158761,0.663825
C#CCOn1c(O)nc(C)c(Br)c1=O,,-0.1,,0.0488494,0.52209
C#CCSC(=O)/C=C(C)/C=C/CC(C)CCCC(C)(C)OC,,,5.9,5.6383,5.6383
C#CCSC(=O)/C=C(C)/C=C/CC(C)CCCC(C)C,,,5.07,6.28091,6.28091
C#CC[C@@H](C(=O)N[C@@H](/C=C/C(=O)OCC)C[C@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O,1.75,,,1.53235,1.53265
C#CCn1c(=O)c2c(-c3cc(C#N)cn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.96,,,3.71308,3.71315
C#CCn1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.16,,,3.44678,3.44823
C#CCn1c(=O)c2c(-c3nc(C#N)cn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.4,,,3.1124,3.11248
C#CCn1cncc1[N+](=O)[O-],,0.52,,0.216844,0.216844
C#CCn1nnc(Oc2ccc(NC(=O)N(C)C)cc2)n1,,1.65,,1.12889,1.12899
C#CCn1nnnc1Oc1ccc(NC(=O)N(C)C)cc1,,1,,0.840417,0.840542
C#C[C@@H](CC(=O)O)NC(=O)Cn1c(C2CC2)ccc(NCc2ccc3c(n2)NCCC3)c1=O,,,-0.97,-1.72117,0.139405
C#C[C@]1(O)CC[C@@H]2[C@@H]3CCc4cc(O)ccc4C3C(CC)C[C@]21C,,,4.28,4.45438,4.45488
C#C[C@]1(O)CC[C@@H]2[C@@H]3CCc4cc(O)ccc4C3[C@@H](OC)C[C@]21C,,,3.01,3.29837,3.29894
C#C[C@]1(O)CC[C@H]2[C@H]3CCc4cc(O)ccc4C3CC[C@]21C,,,3.42,3.72048,3.721
C#C[C@]1(O)[C@@H](F)C[C@@H]2[C@@H]3CCc4cc(O)ccc4C3[C@@H](CC)C[C@]21C,,,4.12,4.41337,4.41387
C#C[C@]1(O)[C@@H](F)C[C@@H]2[C@@H]3CCc4cc(O)ccc4C3[C@@H](OC)C[C@]21C,,,2.87,3.32955,3.33014
C#C[C@]1(O)[C@@H](F)C[C@H]2[C@H]3CCc4cc(O)ccc4C3CC[C@]21C,,,3.3,3.71624,3.71678
C#C[C@]1(OC(=O)C2=CN(C)C=CC2)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@@H]3CC[C@@]21C,,,4.53,5.3147,5.31528
C#Cc1ccc(C(=O)c2ccc3n2CCC3C(=O)O)cc1,,,3.33,-0.493955,2.42409
C#Cc1ccc(C2SCC(C(C)(C)C)CS2)cc1,,,4.955,5.06797,5.06797
C#Cc1cccc(Nc2nc3cc(C(=O)O)ccc3c3cncnc23)c1,0.92,,,0.419509,3.63612
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCF)cc23)c1,,,1.64,3.21669,3.21721
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,3.35,,,3.12954,3.13003
C#Cc1ccccc1,,2.53,,2.43939,2.43939
C#N,,-0.25,,-0.128121,-0.128121
C(#CCC1(Cc2ccccc2)c2ccccc2-c2ccccc21)CN1CCCCCC1,,,7.9,7.00026,7.3013
C(#Cc1ccccc1)c1ccccc1,,4.78,,4.7777,4.7777
C(#Cc1n[nH]c2ccccc12)c1ccccc1,4.31,,,3.9653,3.96608
C(=C/c1c(-c2ccccc2)nc2sccn12)\c1ccncn1,3.4,,,3.05151,3.05155
C(=C/c1nn[nH]n1)\c1ccccc1,-0.4,,,-0.42577,1.97096
C(=Cc1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1,,5.77,,4.72278,5.01339
C(=Cc1ccccc1)c1ccccc1,,4.81,,4.82062,4.82062
C(=Cc1ccccn1)c1ccccn1,,2.11,,2.15389,2.15495
C(=NN1CCCCC1)c1ccccc1,,3.04,,2.693,2.69331
C(=Nc1ccccc1)c1ccccc1,,2.82,,2.89828,2.89876
C/C(=C/C(=O)O)C(=O)c1ccc(C)cc1,,,2.19,-0.629628,2.28866
C/C(=C/C(=O)O)C(=O)c1ccccc1,,,2.44,-0.93322,1.85602
C/C(=C/C(=O)c1ccc(C)cc1)C(=O)O,,,2.94,-0.630466,2.2883
C/C(=N/NC(N)=O)c1ccc(Oc2ccc(F)cc2)cc1,,,2.03,3.0516,3.05193
C/C(Cl)=C/Cl,,,1.79,2.37423,2.37423
C/C(O)=N/C(/C(O)=N/C(C(=N)O)C(C)C)C(C)C,,-0.32,,0.963415,0.963464
C/C(O)=N/C(/C(O)=N/C(C(=N)O)C(C)C)C(C)O,,-1.25,,-0.0141589,-0.0138346
C/C(O)=N/C(/C(O)=N/C(C)/C(O)=N/C(C(=N)O)C(C)C)C(C)C,,-0.67,,-1.26531,-1.26509
C/C(O)=N/C(/C(O)=N/C(C)/C(O)=N/C(C)C(=N)O)C(C)C,,-1.4,,-2.63418,-2.63377
C/C(O)=N/C(/C(O)=N/C(C)C(=N)O)C(C)C,,-1.14,,0.131909,0.132015
C/C(O)=N/C(/C(O)=N/C(CCC(=N)O)C(=N)O)C(C)C,,-1.82,,-3.86906,-3.86903
C/C(O)=N/C(/C(O)=N/C(Cc1ccccc1)/C(O)=N/C(C)C(=N)O)C(C)C,,0.06,,-0.204835,-0.203719
C/C(O)=N/C(=O)C1CCC1,,-0.4,,0.579909,0.774289
C/C(O)=N/C(C)(C)C(=N)O,,-0.87,,0.317739,0.317756
C/C(O)=N/C(C)/C(O)=N/C(C(=N)O)C(C)C,,-1.13,,0.290718,0.290946
C/C(O)=N/C(C)/C(O)=N/C(C)/C(O)=N/C(C)/C(O)=N/C(C)(C)C,,-0.51,,-0.588939,-0.588464
C/C(O)=N/C(C)/C(O)=N/C(CC(=O)O)/C(O)=N/C(C)(C)C,,-0.74,,-2.67228,0.218105
C/C(O)=N/C(C)/C(O)=N/C(CC(=O)O)/C(O)=N/C(C)/C(O)=N/C(C)(C)C,,-0.74,,-3.99001,-1.80348
C/C(O)=N/C(C)/C(O)=N/C(CC(C)C)/C(O)=N/C(C(=N)O)C(C)C,,-0.14,,-0.9325,-0.93205
C/C(O)=N/C(C)/C(O)=N/C(CC(C)C)C(=N)O,,-0.54,,0.545533,0.545673
C/C(O)=N/C(C)/C(O)=N/C(CCC(=O)O)/C(O)=N/C(C)(C)C,,-0.67,,-2.35574,0.5071
C/C(O)=N/C(C)/C(O)=N/C(CCC(=O)O)/C(O)=N/C(C)/C(O)=N/C(C)(C)C,,-0.67,,-3.52817,-1.16547
C/C(O)=N/C(C)/C(O)=N/C(Cc1c[nH]c2ccccc12)/C(O)=N/C(C)/C(O)=N/C(C)(C)C,,1.26,,1.8189,1.8201
C/C(O)=N/C(C)/C(O)=N/C(Cc1ccc(O)cc1)/C(O)=N/C(CC(C)C)C(=N)O,,-0.04,,0.523434,0.526141
C/C(O)=N/C(C)/C(O)=N/C(Cc1ccccc1)/C(O)=N/C(C)/C(O)=N/C(C)(C)C,,1.01,,0.986056,0.987292
C/C(O)=N/C(C)/C(O)=N/C/C(O)=N/C(C)/C(O)=N/C(C)(C)C,,-0.6,,-0.942363,-0.941439
C/C(O)=N/C(C)/C(O)=N/C/C(O)=N/C(Cc1ccccc1)C(=N)O,,-0.71,,-1.92506,-1.92367
C/C(O)=N/C(C)C(=O)N1CCCC1/C(O)=N/C(C)/C(O)=N/C(C)(C)C,,-0.39,,1.69993,1.70196
C/C(O)=N/C(CC(=N)O)/C(O)=N/C(C(=N)O)C(C)C,,-1.85,,-4.8465,-4.8465
C/C(O)=N/C(CC(=O)O)/C(O)=N/C(Cc1ccccc1)/C(O)=N/C(CC(C)C)C(=N)O,,0.4,,-2.44388,-0.145217
C/C(O)=N/C(CC(C)C)/C(O)=N/C(C(=N)O)C(C)C,,0.26,,1.25292,1.25296
C/C(O)=N/C(CC(C)C)/C(O)=N/C(CC(=N)O)C(=N)O,,-1.3,,-3.96868,-3.96863
C/C(O)=N/C(CC(C)C)/C(O)=N/C(CCC(=O)O)/C(O)=N/C(Cc1ccccc1)C(=N)O,,0.47,,-1.9956,0.431108
C/C(O)=N/C(CC(C)C)/C(O)=N/C(CCCCN)/C(O)=N/C(Cc1ccccc1)C(=N)O,,1.14,,-0.2694,0.662757
C/C(O)=N/C(CC(C)C)/C(O)=N/C(CCCN)/C(O)=N/C(Cc1ccccc1)C(=N)O,,0.53,,-0.55745,0.367264
C/C(O)=N/C(CC(C)C)/C(O)=N/C(CO)/C(O)=N/C(Cc1ccccc1)C(=N)O,,0.23,,0.379713,0.380951
C/C(O)=N/C(CCC(=N)O)/C(O)=N/C(Cc1ccccc1)C(=N)O,,-1.14,,-2.16741,-2.16725
C/C(O)=N/C(CCC(=O)O)/C(O)=N/C(Cc1ccccc1)/C(O)=N/C(CC(C)C)C(=N)O,,0.32,,-1.85839,0.60761
C/C(O)=N/C(CCC/N=C(\O)N(C)N=O)/C(O)=N/Cc1ccccc1,,0.98,,1.92273,1.92386
C/C(O)=N/C(CCC/N=C(\O)N(CCCl)N=O)/C(O)=N/Cc1ccccc1,,1.33,,2.45601,2.45694
C/C(O)=N/C(CCC/N=C(\O)NCCCl)/C(O)=N/Cc1ccccc1,,0.34,,1.56793,1.56833
C/C(O)=N/C(CCCC/N=C(\O)N(CCCl)N=O)/C(O)=N/Cc1ccccc1,,1.54,,2.72254,2.72284
C/C(O)=N/C(CCCCN(Cc1ccccc1)C(=O)N(C)N=O)/C(O)=N/Cc1ccccc1,,2.12,,3.0423,3.0424
C/C(O)=N/C(CCCCN)/C(O)=N/C(CC(C)C)C(=N)O,,-0.26,,-0.252489,0.667987
